AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
150,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180005,USADO,-1,1,3,BRAGANCA,DUPLEX,-1,BRAGANCA,-1,-1,171000
-1,-1,VENDA,MIRANDA_DO_DOURO,286180001,ND,1000,-1,-1,MIRANDA_DO_DOURO,LOTE_DE_TERRENO,-1,BRAGANCA,-1,-1,36500
133,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180004,USADO,-1,1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,56000
66029,-1,VENDA,FRECHAS,256180004,ND,66029,-1,-1,MIRANDELA,TERRENO,-1,BRAGANCA,-1,-1,180000
37,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180002,USADO,-1,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,15000
64,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180001,USADO,-1,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,15000
100,4,VENDA,CASTRELOS_E_CARRAZEDO,292170359,USADO,14430,1,1,BRAGANCA,MORADIA,-1,BRAGANCA,-1,C,125000
100,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170358,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,75000
178,6,VENDA,MACEDO_DE_CAVALEIROS,286170116,USADO,1357,-1,3,MACEDO_DE_CAVALEIROS,MORADIA,-1,BRAGANCA,-1,E,265500
107,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170325,USADO,-1,-1,2,BRAGANCA,LOJA,-1,BRAGANCA,-1,-1,75000
404,3,VENDA,VILAR_SECO,286170115,USADO,4265,3,2,VIMIOSO,MORADIA_ISOLADA,-1,BRAGANCA,-1,-1,430000
230,4,VENDA,SEZULFE,292170324,USADO,2000,1,1,MACEDO_DE_CAVALEIROS,MORADIA,-1,BRAGANCA,-1,F,110000
58,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170323,USADO,-1,-1,1,BRAGANCA,ESCRITORIO,-1,BRAGANCA,-1,E,41000
180,-1,VENDA,GONDESENDE,292170322,USADO,510,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,19500
50,1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170321,USADO,25,-1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,C,69000
199,4,VENDA,ALFAIAO,292170320,ND,12000,-1,3,BRAGANCA,QUINTA,-1,BRAGANCA,-1,C,350000
148,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170319,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,104000
92,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170318,USADO,-1,-1,2,BRAGANCA,ESCRITORIO,-1,BRAGANCA,-1,B-,-1
130,4,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170317,USADO,-1,1,3,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,160000
156,3,VENDA,MACEDO_DE_CAVALEIROS,286170114,USADO,-1,1,2,MACEDO_DE_CAVALEIROS,APARTAMENTO,-1,BRAGANCA,-1,B,96500
111,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170316,ND,37,-1,-1,BRAGANCA,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,40000
128,3,VENDA_ARRENDAMENTO,SE_SANTA_MARIA_E_MEIXEDO,292170315,USADO,-1,1,2,BRAGANCA,APARTAMENTO,400,BRAGANCA,-1,-1,75000
113,3,VENDA,SAMIL,292170314,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,C,107000
144,-1,VENDA,RIO_FRIO_E_MILHAO,292170313,USADO,-1,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,55000
119,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170312,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,B,115000
143,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170311,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,C,120000
146,-1,VENDA,CASTRO_DE_AVELAS,292170310,USADO,782,-1,-1,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,100000
138,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170309,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,C,80000
11700,-1,VENDA,CARVALHAIS,256170430,ND,11700,-1,-1,MIRANDELA,TERRENO,-1,BRAGANCA,-1,-1,23000
31404,-1,VENDA,CARVALHAIS,256170429,ND,31404,-1,-1,MIRANDELA,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,57500
19074,-1,VENDA,CARVALHAIS,256170425,ND,19074,-1,-1,MIRANDELA,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,43000
200,3,VENDA,MACEDO_DE_CAVALEIROS,292170308,USADO,-1,-1,2,MACEDO_DE_CAVALEIROS,MORADIA,-1,BRAGANCA,-1,F,78000
661,-1,VENDA,ALFAIAO,292170307,ND,661,-1,-1,BRAGANCA,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,28500
360,6,VENDA,ALFÂNDEGA_DA_FE,256170404,USADO,90,4,4,ALFANDEGA_DA_FE,PREDIO,-1,BRAGANCA,-1,C,265000
